Name,Address,Productor,PorpertyCompany,Start-Time,Type,Delivery-Time,Plot-Ratio,LimitOfusingTime,Green-Rate,Planning-homesNum,Property-fee,Floor-Area,Building-Area,Price,DanWei
绿城上海诚园,云樱路199弄,上海临港奉贤置业有限公司,上海绿城物业有限公司,预计2017-10-,住宅,2018-12-,1.60,70年,30%,1446,4.2,89745,208,23000,元/平
万科UniCity天空之城,诸陆西路966号（近徐盈路）,上海广欣投资发展有限公司,上海万科物业管理有限公司,2017-12-,住宅,预计2018-09-,1.60,70年,35%,2299,3.95,260118,538,59800,元/平
泰禾大城小院,凤凰公路与潘园公路交叉口,上海禾柃房地产开发有限公司,泰禾物业,2018-02-03-,别墅,2020-06-30-,1.50,70年,35%,2800,7.9,200000,420,,
东亚启航公馆,航城三路518弄,上海硕日旷宇投资有限公司,北京东亚时代物业管理有限公司,2016-05-27-,住宅,2017-07-30-,1.20,70年,35%,686,2.8,47565,72,,
桐南美麓,奉贤金海公路广丰路交汇处,上海励治房地产开发有限公司,东原物业,2018-01-21-,住宅,2018-12-,1.80,70年,35%,1646,3.3,87916,158,33000,元/平米
世茂云图,浦东-康涵路58号,上海世茂翊信置业有限公司,上海世贸物业,2017-06-30-,住宅,2017-12-30-,1.70,70年、40年,35%,830,3,49369,120,,
临港首府,竹柏路503弄,上海临港新城投资建设有限公司,上海临港新城物业管理有限公司,2017-12-,别墅,2018-06-30-,1.00,70年,35%,511,2.5,105000,108,,
宫园巧筑,抚远路993号,永耀（上海）房地产开发有限公司,狮城怡安（上海）物业管理有限公司,2017-09-01-,别墅,2018-03-30-,1.01,70年,35%,301,4.9,53837,54,494,万/套
万科安亭新镇,安勇路20弄,上海国际汽车城置业有限公司,上海国际汽车城物业管理有限公司,2018-02-25-,住宅,2018-06-30-,0.59,70年,60%,833,3.4,5000000,1,,
瑞虹新城悦庭,瑞虹路368弄,上海瑞虹新城有限公司,上海丰诚物业管理有限公司,2017-12-,住宅,2017-09-30-,3.63,70年,37%,650,2.1,52630,50,,
路劲佘山院子,松江松江崇南公路599弄,上海隽通置业有限公司,路劲物业,2017-06-30-,别墅,2017-12-28-,2.00,70年,35%,615,3.25,37336,76,700,万/套
绿波景园,沪松公路2972弄6-8号,上海荣宇房地产开发有限公司,上海泗房物业发展有限公司,2016-09-30-,住宅,2018-12-,1.68,70年,41%,1108,1.4,100000,130,36000,元/平
东方华璟园,人民路255号,上海市东璟企业发展有限公司,大华集团上海物业管理有限公司,2016-12-28-,住宅,2017-12-,2.50,70年,30%,679,1.9,19000,69,24000,元/平米
汤泉美地城,金石北路6666号（近新农立交桥）,上海尚合物业发展有限公司,上海紫泰物业管理有限公司,2016-10-01-,别墅,2016-12-,0.72,70年,40%,5000,3,132945,35,468,万/套
碧桂园玫瑰公馆,枫泾镇润兴路8弄30号,上海兴赞置业有限公司,碧桂园物业,2017-06-10-,别墅,2018-06-30-,1.01,70年,35%,244,3.8,22587,22,409,万/套
恒大御澜庭,淀山湖大道复兴路路口,上海丰涛置业有限公司,恒大金碧物业,2017-05-14-,住宅,2018-12-,0.50,70年,35%,1200,3,350000,175,32000,元/平
静安慕舍,广延路1199弄,上海东北明园实业发展有限公司,上海恒联物业有限公司,2016-06-12-,住宅,2018-05-30-,3.50,70年,35%,662,6.8,30000,130,,
大华斐勒公园,北艾路1643弄,上海锦绣华城房地产开发有限公司,上海浦华物业管理有限公司,2017-02-08-,别墅,2019-06-01-,1.40,70年,35%,924,10,151458,26,2000,万/套
安亭瑞仕锦庭,安研路67弄,上海城建博远置业有限公司,上海上实物业管理有限公司,2017-07-07-,住宅,2018-06-30-,2.17,70年,45%,968,2.6,46511,134,31500,元/平
上尚缘,松江-文翔路3588弄（近辰塔路）,上海中欣长远房地产开发有限公司,上海怡东物业管理有限公司,2015-09-14-,住宅,2016-03-,0.88,70年,40%,1500,2.3,200000,186,,
新城尚品,新中街188弄,上海莘松绿嘉房地产有限公司,上海名驰物业管理有限公司,2016-12-,住宅,2018-09-30-,1.20,70年,35%,533,2.5,45000,76,33000,元/平
大华碧云天,华和路336号,大华（集团）有限公司,上海卫华物业管理有限公司,2016-08-13-,住宅,预计2018-04-,2.25,70年,35%,644,2.8,95000,290,,
碧云壹零,竹柏路758弄,金桥出口加工区房产发展有限公司,上海上房物业管理有限公司,2017-09-06-,住宅,2018-12-,1.00,70年,35%,605,2.98,142998,207,28000,元/平米
大成名庭,武乡南路259弄,上海金隅大成房地产开发有限公司,狮城怡安（上海）物业管理有限公司,2018-01-,住宅,2018-05-30-,1.90,70年,35%,448,3.2,112282,356,30500,元/平
汤泉美地城,金石北路6666号（近新农立交桥）,上海尚合物业发展有限公司,上海紫泰物业管理有限公司,2016-10-01-,住宅,2018-06-30-,0.72,70年,40%,5000,3,132945,35,19800,元/平
宝龙世家,渔港路272号,上海宝龙睿承房地产开发有限公司,泰安宝龙商业物业管理有限公司,2017-07-16-,住宅,2018-12-30-,2.00,70年,35%,464,2.9,31054,62,23500,元/平
盛誉世家,淀湖路666弄,上海睿涛房地产开发有限公司,上海新城万嘉物业管理有限公司,2017-07-08-,住宅,2019-06-30-,1.79,70年,35%,312,3.5,20897,37,41500,元/平
中骏天悦,铜川路固川路路口,上海骏沃房地产开发有限公司,世邦泰和物业管理有限公司,2017-01-21-,住宅,2018-12-10-,3.50,70年,35%,241,9,23060,110,105000,元/平
大华斐勒公园,北艾路1643弄,上海锦绣华城房地产开发有限公司,上海浦华物业管理有限公司,2017-02-08-,住宅,2019-05-15-,1.40,70年,35%,924,10,151458,26,,
嘉宝前滩后院,云台路1101弄,嘉宝集团,嘉宝物业,2017-06-05-,别墅,2018-01-,1.20,70年,35%,152,8,25736,59,1620,万/套
澜庭,博海路118弄,上海豫金置业有限公司,上海豫园旅游商城物业管理有限公司,2016-12-30-,住宅,2018-04-30-,2.00,70年,35%,1400,2.28,65000,130,,
东滩豫翠苑,北陈公路银鸥西路路口,上海崇明豫商置业有限公司,临客嘉物业经营管理(上海)有限公司,2017-02-05-,别墅,2018-06-30-,1.00,70年,35%,448,5.8,54052,53,453,元/平米
绿地天呈,胜竹路2600号,上海绿地嘉唐置业有限公司,盛全物业,2017-07-06-,住宅,2018-11-30-,2.00,70年、40年,35%,1083,3,80000,160,44000,元/平
韵湖豪庭,太仓市沙溪镇德西路688号,建伟控股集团,苏州华新国际物业有限公司,2017-02-06-,住宅,2019-06-30-,2.00,70年,30%,1088,2,53000,120,14000,元/平米
尚景丽园,浦东康桥镇梓营路155弄,上海南汇房地产开发经营有限公司,上海南汇惠房物业管理有限公司,2017-07-14-,住宅,2018-09-30-,19.10,70年,35%,284,1.75,16000,30,43500,元/平
金地双都汇,明兴路18弄,上海鑫威房地产开发有限公司,上海金地物业服务有限公司,2017-05-20-,别墅,预计2018-05-,1.40,70年,35%,923,3.2,65000,130,,
禹洲雍贤府,奉贤浦星公路与大叶公路交汇处,上海泽翔房地产开发有限公司,禹洲物业服务有限公司上海分公司,2017-06-25-,别墅,2019-09-30-,1.60,70年,35%,1860,3.5,109266,268,317,万/套
盛世荟庭,浦东川南奉公路拱北路口,上海东鉴房地产开发有限公司,浦房物业服务中心有限公司,2018-01-15-,住宅,2019-12-,1.80,70年,40%,558,2.98,32166,52,,
